Period,From,To,Area_km2
2000-2001,7,20,1148.0751
2000-2001,8,5,5627.241
2000-2001,8,7,6300.234
2000-2001,8,8,1708165.4436
2000-2001,8,9,860.0445
2000-2001,8,11,56.1483
2000-2001,8,12,448.6302
2000-2001,8,13,6381.9297
2000-2001,8,15,40.428
2000-2001,8,16,1.7721
2000-2001,8,20,5444.3646
2000-2001,9,5,382.7664
2000-2001,9,7,178.3782
2000-2001,9,8,853.1649
2000-2001,9,9,39676.0392
2000-2001,9,11,0.8541
2000-2001,9,12,1612.5759
2000-2001,9,13,75.1437
2000-2001,9,15,1130.7303
2000-2001,9,16,0.0387
2000-2001,9,20,410.3973
2000-2001,11,5,48.2373
2000-2001,11,7,27.8208
2000-2001,11,8,53.8803
2000-2001,11,9,1.2501
2000-2001,11,11,840.8601
2000-2001,11,12,10.9656
2000-2001,11,13,7.803
2000-2001,11,15,0.8046
2000-2001,11,16,0.3105
2000-2001,11,20,11.2014
2000-2001,12,5,344.3175
2000-2001,12,7,677.8404
2000-2001,12,8,778.1265
2000-2001,12,9,1067.409
2000-2001,12,11,6.039
2000-2001,12,12,1088717.2794
2000-2001,12,13,331.8489
2000-2001,12,15,28.395
2000-2001,12,16,41.5269
2000-2001,12,20,67.5945
2000-2001,13,5,772.947
2000-2001,13,7,592.0227
2000-2001,13,8,4543.2801
2000-2001,13,9,74.4786
2000-2001,13,11,7.1433
2000-2001,13,12,231.7131
2000-2001,13,13,95028.786
2000-2001,13,15,19.7649
2000-2001,13,16,3.0951
2000-2001,13,20,551.2113
2000-2001,15,5,43.056
2000-2001,15,7,7.3071
2000-2001,15,8,56.5587
2000-2001,15,9,1095.3828
2000-2001,15,11,2.4732
2000-2001,15,12,84.7125
2000-2001,15,13,27.3204
2000-2001,15,15,3533480.5536
2000-2001,15,16,39.1842
2000-2001,15,20,75.4641
2000-2001,16,5,22.6998
2000-2001,16,7,0.7974
2000-2001,16,8,1.3455
2000-2001,16,9,0.0459
2000-2001,16,11,0.1638
2000-2001,16,12,13.3794
2000-2001,16,13,1.5894
2000-2001,16,15,17.0964
2000-2001,16,16,4280.9031
2000-2001,16,20,7.7823
2000-2001,20,5,3018.7422
2000-2001,20,7,827.7192
2000-2001,20,8,7667.6013
2000-2001,20,9,396.7155
2000-2001,20,11,12.4893
2000-2001,20,12,55.6569
2000-2001,20,13,603.8559
2000-2001,20,15,36.8532
2000-2001,20,16,17.0172
2000-2001,20,20,1118084.5539
2001-2002,5,5,458672.0184
2001-2002,5,7,1219.4496
2001-2002,5,8,7187.7933
2001-2002,5,9,397.2177
2001-2002,5,11,41.8599
2001-2002,5,12,324.1989
2001-2002,5,13,841.1895
2001-2002,5,15,38.3175
2001-2002,5,16,10.323
2001-2002,5,20,2533.3911
2001-2002,7,5,1467.2277
2001-2002,7,7,486235.3932
2001-2002,7,8,11206.4283
2001-2002,7,9,170.9946
2001-2002,7,11,24.2316
2001-2002,7,12,539.055
2001-2002,7,13,704.5272
2001-2002,7,15,4.1031
2001-2002,7,16,0.6021
2001-2002,7,20,929.8557
2001-2002,8,5,5220.5103
2001-2002,8,7,6210.6453
2001-2002,8,8,1713335.9877
2001-2002,8,9,928.3338
2001-2002,8,11,31.59
2001-2002,8,12,458.5635
2001-2002,8,13,5800.5234
2001-2002,8,15,43.4628
2001-2002,8,16,0.5796
2001-2002,8,20,5832.9036
2001-2002,9,5,385.8516
2001-2002,9,7,178.2396
2001-2002,9,8,854.5671
2001-2002,9,9,39206.6343
2001-2002,9,11,1.3788
2001-2002,9,12,1198.5543
2001-2002,9,13,87.8184
2001-2002,9,15,1406.0547
2001-2002,9,16,0.0063
2001-2002,9,20,451.7352
2001-2002,11,5,33.1776
2001-2002,11,7,33.3891
2001-2002,11,8,59.7033
2001-2002,11,9,0.9837
2001-2002,11,11,855.0522
2001-2002,11,12,16.3206
2001-2002,11,13,6.4539
2001-2002,11,15,0.9981
2001-2002,11,16,0.0468
2001-2002,11,20,7.4889
2001-2002,12,5,429.2874
2001-2002,12,7,914.4279
2001-2002,12,8,1412.5329
2001-2002,12,9,1879.596
2001-2002,12,11,4.6845
2001-2002,12,12,1086997.9905
2001-2002,12,13,341.0874
2001-2002,12,15,64.2924
2001-2002,12,16,5.5566
2001-2002,12,20,71.0145
2001-2002,13,5,766.3896
2001-2002,13,7,644.0562
2001-2002,13,8,4958.8488
2001-2002,13,9,66.7881
2001-2002,13,11,6.9399
2001-2002,13,12,234.3033
2001-2002,13,13,96822.2529
2001-2002,13,15,17.6238
2001-2002,13,16,0.7479
2001-2002,13,20,549.7659
2001-2002,15,5,36.0333
2001-2002,15,7,3.8781
2001-2002,15,8,53.4915
2001-2002,15,9,1150.3269
2001-2002,15,11,2.3571
2001-2002,15,12,50.049
2001-2002,15,13,28.7055
2001-2002,15,15,3533426.6373
2001-2002,15,16,1.7298
2001-2002,15,20,45.432
2001-2002,16,5,87.2487
2001-2002,16,7,2.9322
2001-2002,16,8,3.7089
2001-2002,16,9,0.0927
2001-2002,16,11,0.5283
2001-2002,16,12,99.3159
2001-2002,16,13,8.7921
2001-2002,16,15,129.9978
2001-2002,16,16,4059.3393
2001-2002,16,20,37.0503
2001-2002,20,5,3034.8702
2001-2002,20,7,989.5293
2001-2002,20,8,6916.3875
2001-2002,20,9,423.4689
2001-2002,20,11,9.1008
2001-2002,20,12,63.2016
2001-2002,20,13,568.4346
2001-2002,20,15,48.3345
2001-2002,20,16,1.8954
2001-2002,20,20,1116259.2108
2002-2003,5,5,457025.706
2002-2003,5,7,1097.586
2002-2003,5,8,7489.3725
2002-2003,5,9,410.6286
2002-2003,5,11,33.7752
2002-2003,5,12,323.9856
2002-2003,5,13,830.9745
2002-2003,5,15,37.0827
2002-2003,5,16,18.1908
2002-2003,5,20,2865.3156
2002-2003,7,5,1135.3212
2002-2003,7,7,483280.5753
2002-2003,7,8,9564.8346
2002-2003,7,9,158.6772
2002-2003,7,11,24.6537
2002-2003,7,12,424.467
2002-2003,7,13,773.9253
2002-2003,7,15,4.6368
2002-2003,7,16,1.305
2002-2003,7,20,1063.5444
2002-2003,8,5,5564.2626
2002-2003,8,7,6222.9807
2002-2003,8,8,1719635.0544
2002-2003,8,9,1040.5422
2002-2003,8,11,54.5859
2002-2003,8,12,859.581
2002-2003,8,13,6266.8143
2002-2003,8,15,62.1486
2002-2003,8,16,1.4832
2002-2003,8,20,6281.9919
2002-2003,9,5,370.2015
2002-2003,9,7,203.5836
2002-2003,9,8,808.1379
2002-2003,9,9,39640.6917
2002-2003,9,11,2.1564
2002-2003,9,12,1079.838
2002-2003,9,13,80.2899
2002-2003,9,15,1599.4296
2002-2003,9,16,0.0126
2002-2003,9,20,440.0964
2002-2003,11,5,29.5497
2002-2003,11,7,16.8174
2002-2003,11,8,44.1576
2002-2003,11,9,1.35
2002-2003,11,11,864.234
2002-2003,11,12,6.525
2002-2003,11,13,6.7455
2002-2003,11,15,1.0728
2002-2003,11,16,0.135
2002-2003,11,20,7.137
2002-2003,12,5,260.0946
2002-2003,12,7,900.0927
2002-2003,12,8,1203.9957
2002-2003,12,9,1075.1616
2002-2003,12,11,6.1092
2002-2003,12,12,1086052.248
2002-2003,12,13,346.4055
2002-2003,12,15,48.2751
2002-2003,12,16,25.4565
2002-2003,12,20,63.7146
2002-2003,13,5,776.3679
2002-2003,13,7,612.6723
2002-2003,13,8,5134.4658
2002-2003,13,9,77.1183
2002-2003,13,11,8.2152
2002-2003,13,12,224.9694
2002-2003,13,13,97768.1142
2002-2003,13,15,24.7257
2002-2003,13,16,1.917
2002-2003,13,20,581.2218
2002-2003,15,5,42.8382
2002-2003,15,7,3.4902
2002-2003,15,8,57.9681
2002-2003,15,9,933.2361
2002-2003,15,11,2.1591
2002-2003,15,12,50.3046
2002-2003,15,13,26.0469
2002-2003,15,15,3534003.0
2002-2003,15,16,22.3974
2002-2003,15,20,38.3814
2002-2003,16,5,113.0346
2002-2003,16,7,1.9602
2002-2003,16,8,3.168
2002-2003,16,9,0.0513
2002-2003,16,11,0.5526
2002-2003,16,12,119.403
2002-2003,16,13,7.2621
2002-2003,16,15,65.7954
2002-2003,16,16,3744.3519
2002-2003,16,20,25.2477
2002-2003,20,5,3361.2597
2002-2003,20,7,898.7508
2002-2003,20,8,7332.894
2002-2003,20,9,443.8809
2002-2003,20,11,8.7264
2002-2003,20,12,72.5949
2002-2003,20,13,596.9484
2002-2003,20,15,54.0855
2002-2003,20,16,7.6905
2002-2003,20,20,1113941.0088
2003-2004,5,5,456823.1493
2003-2004,5,7,1051.9398
2003-2004,5,8,6009.8076
2003-2004,5,9,395.5887
2003-2004,5,11,26.7471
2003-2004,5,12,315.4032
2003-2004,5,13,810.5112
2003-2004,5,15,29.6316
2003-2004,5,16,22.5927
2003-2004,5,20,3193.2621
2003-2004,7,5,902.628
2003-2004,7,7,484023.7746
2003-2004,7,8,6048.0441
2003-2004,7,9,154.3122
2003-2004,7,11,18.1944
2003-2004,7,12,541.5453
2003-2004,7,13,756.6885
2003-2004,7,15,6.3189
2003-2004,7,16,0.4527
2003-2004,7,20,786.555
2003-2004,8,5,5628.4029
2003-2004,8,7,6630.5637
2003-2004,8,8,1725400.4607
2003-2004,8,9,959.1597
2003-2004,8,11,40.3587
2003-2004,8,12,880.866
2003-2004,8,13,5857.1487
2003-2004,8,15,63.1791
2003-2004,8,16,0.8856
2003-2004,8,20,5813.0118
2003-2004,9,5,340.1775
2003-2004,9,7,135.7056
2003-2004,9,8,735.7176
2003-2004,9,9,39585.6198
2003-2004,9,11,1.4706
2003-2004,9,12,799.308
2003-2004,9,13,68.895
2003-2004,9,15,1710.8667
2003-2004,9,16,0.0144
2003-2004,9,20,403.5762
2003-2004,11,5,25.6005
2003-2004,11,7,20.4228
2003-2004,11,8,39.627
2003-2004,11,9,2.0835
2003-2004,11,11,888.8553
2003-2004,11,12,9.558
2003-2004,11,13,8.4726
2003-2004,11,15,3.2283
2003-2004,11,16,0.0972
2003-2004,11,20,7.2216
2003-2004,12,5,238.0518
2003-2004,12,7,544.4793
2003-2004,12,8,855.6381
2003-2004,12,9,838.0269
2003-2004,12,11,4.4082
2003-2004,12,12,1086276.2202
2003-2004,12,13,306.9576
2003-2004,12,15,68.5602
2003-2004,12,16,25.8273
2003-2004,12,20,55.7388
2003-2004,13,5,730.1178
2003-2004,13,7,599.4684
2003-2004,13,8,5238.8289
2003-2004,13,9,88.8903
2003-2004,13,11,7.2333
2003-2004,13,12,242.6913
2003-2004,13,13,99219.5487
2003-2004,13,15,28.5192
2003-2004,13,16,1.2951
2003-2004,13,20,546.9318
2003-2004,15,5,49.3956
2003-2004,15,7,3.6252
2003-2004,15,8,61.3854
2003-2004,15,9,1219.1931
2003-2004,15,11,5.6664
2003-2004,15,12,45.3753
2003-2004,15,13,21.1383
2003-2004,15,15,3534441.2721
2003-2004,15,16,15.7626
2003-2004,15,20,37.4391
2003-2004,16,5,92.4705
2003-2004,16,7,2.8881
2003-2004,16,8,5.0904
2003-2004,16,9,0.0657
2003-2004,16,11,0.6516
2003-2004,16,12,150.4692
2003-2004,16,13,9.2178
2003-2004,16,15,116.5284
2003-2004,16,16,3410.4735
2003-2004,16,20,35.0829
2003-2004,20,5,3868.614
2003-2004,20,7,760.0248
2003-2004,20,8,7356.2976
2003-2004,20,9,453.8475
2003-2004,20,11,8.3646
2003-2004,20,12,63.8622
2003-2004,20,13,571.6359
2003-2004,20,15,52.4106
2003-2004,20,16,4.6953
2003-2004,20,20,1112167.9107
2004-2005,5,5,458141.9688
2004-2005,5,7,1083.8727
2004-2005,5,8,5424.8742
2004-2005,5,9,358.0164
2004-2005,5,11,34.6239
2004-2005,5,12,314.7552
2004-2005,5,13,766.0548
2004-2005,5,15,30.3615
2004-2005,5,16,37.2483
2004-2005,5,20,2506.8267
2004-2005,7,5,1038.4677
2004-2005,7,7,484176.7809
2004-2005,7,8,6091.4115
2004-2005,7,9,167.0283
2004-2005,7,11,19.1394
2004-2005,7,12,701.9028
2004-2005,7,13,712.512
2004-2005,7,15,4.1688
2004-2005,7,16,1.2582
2004-2005,7,20,860.2227
2004-2005,8,5,5378.4243
2004-2005,8,7,6939.7119
2004-2005,8,8,1726798.4289
2004-2005,8,9,846.6732
2004-2005,8,11,38.2338
2004-2005,8,12,949.9968
2004-2005,8,13,5791.0788
2004-2005,8,15,51.7059
2004-2005,8,16,2.4399
2004-2005,8,20,4954.203
2004-2005,9,5,372.3615
2004-2005,9,7,137.4147
2004-2005,9,8,767.3553
2004-2005,9,9,39508.1352
2004-2005,9,11,1.1961
2004-2005,9,12,1010.4534
2004-2005,9,13,82.4022
2004-2005,9,15,1427.3388
2004-2005,9,16,0.0171
2004-2005,9,20,390.1122
2004-2005,11,5,32.2002
2004-2005,11,7,24.4008
2004-2005,11,8,44.1621
2004-2005,11,9,1.5156
2004-2005,11,11,873.99
2004-2005,11,12,6.6384
2004-2005,11,13,8.8749
2004-2005,11,15,2.1474
2004-2005,11,16,0.1773
2004-2005,11,20,7.8435
2004-2005,12,5,307.7784
2004-2005,12,7,659.952
2004-2005,12,8,730.2069
2004-2005,12,9,971.3565
2004-2005,12,11,13.6593
2004-2005,12,12,1086140.8476
2004-2005,12,13,292.7259
2004-2005,12,15,76.8393
2004-2005,12,16,49.572
2004-2005,12,20,82.3617
2004-2005,13,5,706.0914
2004-2005,13,7,597.7674
2004-2005,13,8,4632.0615
2004-2005,13,9,69.3999
2004-2005,13,11,5.5134
2004-2005,13,12,253.0908
2004-2005,13,13,100875.0528
2004-2005,13,15,27.1503
2004-2005,13,16,2.5893
2004-2005,13,20,461.5137
2004-2005,15,5,35.3088
2004-2005,15,7,10.0242
