From,To,Count,Area_km2,Period
20,7,37980,34.182,1998-1999
20,8,113608,102.2472,1998-1999
20,9,178,0.1602,1998-1999
20,12,2628,2.3652,1998-1999
20,13,783,0.7047,1998-1999
20,15,299,0.2691,1998-1999
20,20,10821334,9739.2006,1998-1999
5,5,2538855,2284.9695,1999-2000
5,7,3,0.0027,1999-2000
5,8,12288,11.0592,1999-2000
5,12,10070,9.063,1999-2000
5,13,393,0.3537,1999-2000
5,20,5059,4.5531,1999-2000
7,5,2846,2.5614,1999-2000
7,7,4656837,4191.1533,1999-2000
7,8,1039,0.9351,1999-2000
7,12,1867,1.6803,1999-2000
7,13,599,0.5391,1999-2000
7,15,3,0.0027,1999-2000
7,20,1381,1.2429,1999-2000
8,5,6043,5.4387,1999-2000
8,7,9372,8.4348,1999-2000
8,8,22465725,20219.1525,1999-2000
8,9,1,0.0009,1999-2000
8,12,1791,1.6119,1999-2000
8,13,12575,11.3175,1999-2000
8,15,56,0.0504,1999-2000
8,20,41754,37.5786,1999-2000
9,7,4,0.0036,1999-2000
9,8,53,0.0477,1999-2000
9,9,161194,145.0746,1999-2000
9,12,2,0.0018,1999-2000
9,13,72,0.0648,1999-2000
9,20,116,0.1044,1999-2000
11,11,2078,1.8702,1999-2000
11,13,2,0.0018,1999-2000
12,5,4063,3.6567,1999-2000
12,7,6447,5.8023,1999-2000
12,8,4190,3.771,1999-2000
12,12,14881705,13393.5345,1999-2000
12,13,3122,2.8098,1999-2000
12,15,1,0.0009,1999-2000
12,20,151,0.1359,1999-2000
13,13,536228,482.6052,1999-2000
15,5,56,0.0504,1999-2000
15,7,45,0.0405,1999-2000
15,8,104,0.0936,1999-2000
15,9,43,0.0387,1999-2000
15,12,451,0.4059,1999-2000
15,13,221,0.1989,1999-2000
15,15,39433187,35489.8683,1999-2000
15,20,35,0.0315,1999-2000
16,16,22194,19.9746,1999-2000
20,5,3414,3.0726,1999-2000
20,7,10520,9.468,1999-2000
20,8,48517,43.6653,1999-2000
20,9,121,0.1089,1999-2000
20,12,1003,0.9027,1999-2000
20,13,780,0.702,1999-2000
20,15,6,0.0054,1999-2000
20,20,10879583,9791.6247,1999-2000
5,5,2511807,2260.6263,2000-2001
5,7,17,0.0153,2000-2001
5,8,7161,6.4449,2000-2001
5,12,33520,30.168,2000-2001
5,13,1152,1.0368,2000-2001
5,20,1620,1.458,2000-2001
7,5,3204,2.8836,2000-2001
7,7,4673200,4205.88,2000-2001
7,8,1652,1.4868,2000-2001
7,12,2268,2.0412,2000-2001
7,13,1251,1.1259,2000-2001
7,20,1653,1.4877,2000-2001
8,5,2147,1.9323,2000-2001
8,7,3329,2.9961,2000-2001
8,8,22449701,20204.7309,2000-2001
8,9,1,0.0009,2000-2001
8,12,1524,1.3716,2000-2001
8,13,23189,20.8701,2000-2001
8,15,26,0.0234,2000-2001
