From,From_Label,To,To_Label,Count,Area_km2,Period
7,Grassland,8,Cropland,12451587,11206.4283,2001-2002
7,Grassland,9,Wetland,189994,170.9946,2001-2002
7,Grassland,11,Lichens and Mosses,26924,24.2316,2001-2002
7,Grassland,12,Bareland,598950,539.055,2001-2002
7,Grassland,13,Built-up,782808,704.5272,2001-2002
7,Grassland,15,Water,4559,4.1031,2001-2002
7,Grassland,16,Permanent ice and snow,669,0.6021,2001-2002
7,Grassland,20,Forest,1033173,929.8557,2001-2002
8,Cropland,5,Shrubland,5800567,5220.5103,2001-2002
8,Cropland,7,Grassland,6900717,6210.6453,2001-2002
8,Cropland,8,Cropland,1903706653,1713335.9877,2001-2002
8,Cropland,9,Wetland,1031482,928.3338,2001-2002
8,Cropland,11,Lichens and Mosses,35100,31.59,2001-2002
8,Cropland,12,Bareland,509515,458.5635,2001-2002
8,Cropland,13,Built-up,6445026,5800.5234,2001-2002
8,Cropland,15,Water,48292,43.4628,2001-2002
8,Cropland,16,Permanent ice and snow,644,0.5796,2001-2002
8,Cropland,20,Forest,6481004,5832.9036,2001-2002
9,Wetland,5,Shrubland,428724,385.8516,2001-2002
9,Wetland,7,Grassland,198044,178.2396,2001-2002
9,Wetland,8,Cropland,949519,854.5671,2001-2002
9,Wetland,9,Wetland,43562927,39206.6343,2001-2002
9,Wetland,11,Lichens and Mosses,1532,1.3788,2001-2002
9,Wetland,12,Bareland,1331727,1198.5543,2001-2002
9,Wetland,13,Built-up,97576,87.8184,2001-2002
9,Wetland,15,Water,1562283,1406.0547,2001-2002
9,Wetland,16,Permanent ice and snow,7,0.0063,2001-2002
9,Wetland,20,Forest,501928,451.7352,2001-2002
11,Lichens and Mosses,5,Shrubland,36864,33.1776,2001-2002
11,Lichens and Mosses,7,Grassland,37099,33.3891,2001-2002
11,Lichens and Mosses,8,Cropland,66337,59.7033,2001-2002
11,Lichens and Mosses,9,Wetland,1093,0.9837,2001-2002
11,Lichens and Mosses,11,Lichens and Mosses,950058,855.0522,2001-2002
11,Lichens and Mosses,12,Bareland,18134,16.3206,2001-2002
11,Lichens and Mosses,13,Built-up,7171,6.4539,2001-2002
11,Lichens and Mosses,15,Water,1109,0.9981,2001-2002
11,Lichens and Mosses,16,Permanent ice and snow,52,0.0468,2001-2002
11,Lichens and Mosses,20,Forest,8321,7.4889,2001-2002
12,Bareland,5,Shrubland,476986,429.2874,2001-2002
12,Bareland,7,Grassland,1016031,914.4279,2001-2002
12,Bareland,8,Cropland,1569481,1412.5329,2001-2002
12,Bareland,9,Wetland,2088440,1879.596,2001-2002
12,Bareland,11,Lichens and Mosses,5205,4.6845,2001-2002
12,Bareland,12,Bareland,1207775545,1086997.9905,2001-2002
12,Bareland,13,Built-up,378986,341.0874,2001-2002
12,Bareland,15,Water,71436,64.2924,2001-2002
12,Bareland,16,Permanent ice and snow,6174,5.5566,2001-2002
12,Bareland,20,Forest,78905,71.0145,2001-2002
13,Built-up,5,Shrubland,851544,766.3896,2001-2002
13,Built-up,7,Grassland,715618,644.0562,2001-2002
13,Built-up,8,Cropland,5509832,4958.8488,2001-2002
13,Built-up,9,Wetland,74209,66.7881,2001-2002
13,Built-up,11,Lichens and Mosses,7711,6.9399,2001-2002
13,Built-up,12,Bareland,260337,234.3033,2001-2002
13,Built-up,13,Built-up,107580281,96822.2529,2001-2002
13,Built-up,15,Water,19582,17.6238,2001-2002
13,Built-up,16,Permanent ice and snow,831,0.7479,2001-2002
13,Built-up,20,Forest,610851,549.7659,2001-2002
15,Water,5,Shrubland,40037,36.0333,2001-2002
15,Water,7,Grassland,4309,3.8781,2001-2002
15,Water,8,Cropland,59435,53.4915,2001-2002
15,Water,9,Wetland,1278141,1150.3269,2001-2002
15,Water,11,Lichens and Mosses,2619,2.3571,2001-2002
15,Water,12,Bareland,55610,50.049,2001-2002
15,Water,13,Built-up,31895,28.7055,2001-2002
15,Water,15,Water,3926029597,3533426.6373,2001-2002
15,Water,16,Permanent ice and snow,1922,1.7298,2001-2002
15,Water,20,Forest,50480,45.432,2001-2002
16,Permanent ice and snow,5,Shrubland,96943,87.2487,2001-2002
16,Permanent ice and snow,7,Grassland,3258,2.9322,2001-2002
16,Permanent ice and snow,8,Cropland,4121,3.7089,2001-2002
16,Permanent ice and snow,9,Wetland,103,0.0927,2001-2002
16,Permanent ice and snow,11,Lichens and Mosses,587,0.5283,2001-2002
16,Permanent ice and snow,12,Bareland,110351,99.3159,2001-2002
16,Permanent ice and snow,13,Built-up,9769,8.7921,2001-2002
16,Permanent ice and snow,15,Water,144442,129.9978,2001-2002
16,Permanent ice and snow,16,Permanent ice and snow,4510377,4059.3393,2001-2002
16,Permanent ice and snow,20,Forest,41167,37.0503,2001-2002
20,Forest,5,Shrubland,3372078,3034.8702,2001-2002
20,Forest,7,Grassland,1099477,989.5293,2001-2002
20,Forest,8,Cropland,7684875,6916.3875,2001-2002
20,Forest,9,Wetland,470521,423.4689,2001-2002
20,Forest,11,Lichens and Mosses,10112,9.1008,2001-2002
20,Forest,12,Bareland,70224,63.2016,2001-2002
20,Forest,13,Built-up,631594,568.4346,2001-2002
20,Forest,15,Water,53705,48.3345,2001-2002
20,Forest,16,Permanent ice and snow,2106,1.8954,2001-2002
20,Forest,20,Forest,1240288012,1116259.2108,2001-2002
5,Shrubland,5,Shrubland,507806340,457025.706,2002-2003
5,Shrubland,7,Grassland,1219540,1097.586,2002-2003
5,Shrubland,8,Cropland,8321525,7489.3725,2002-2003
5,Shrubland,9,Wetland,456254,410.6286,2002-2003
5,Shrubland,11,Lichens and Mosses,37528,33.7752,2002-2003
5,Shrubland,12,Bareland,359984,323.9856,2002-2003
5,Shrubland,13,Built-up,923305,830.9745,2002-2003
5,Shrubland,15,Water,41203,37.0827,2002-2003
5,Shrubland,16,Permanent ice and snow,20212,18.1908,2002-2003
5,Shrubland,20,Forest,3183684,2865.3156,2002-2003
7,Grassland,5,Shrubland,1261468,1135.3212,2002-2003
7,Grassland,7,Grassland,536978417,483280.5753,2002-2003
