Year,Class,Label,Count,Area_km2,Percentage
2013,8,Cropland,1626579900,1.807311,39.25057975313961
2013,9,Wetland,3145500,0.003495,0.0759032486590426
2013,11,Lichens and mosses,968400,0.001076,0.023368210459836863
2013,12,Bareland,284400,0.000316,0.006862782997498558
2013,13,Built-up,153023400,0.170026,3.6925681706730695
2013,15,Water,5516100,0.006129,0.133107585416673
2013,20,Forest,2053702800,2.281892,49.55737221432906
2014,5,Shrubland,37061100,0.041179,0.8943118387784594
2014,7,Grassland,266066100,0.295629,6.4203723885047514
2014,8,Cropland,1617112800,1.796792,39.02213160646023
2014,9,Wetland,2924100,0.003249,0.07056070240149627
2014,11,Lichens and mosses,1030500,0.001145,0.02486672953207547
2014,12,Bareland,263700,0.000293,0.0063632766400856895
2014,13,Built-up,153836100,0.170929,3.712179224618453
2014,15,Water,5737500,0.006375,0.13845013167421935
2014,20,Forest,2060059500,2.288955,49.71076410139024
2015,5,Shrubland,38226600,0.042474,0.9224362184675754
2015,7,Grassland,267096600,0.296774,6.445239118036827
2015,8,Cropland,1609142400,1.787936,38.82979994118856
2015,9,Wetland,3051000,0.00339,0.0736228935491143
2015,11,Lichens and mosses,1025100,0.001139,0.024736423525793864
2015,12,Bareland,292500,0.000325,0.0070582420069209865
2015,13,Built-up,154987200,0.172208,3.7399561216241524
2015,15,Water,5548500,0.006165,0.13388942145436275
2015,20,Forest,2064721500,2.294135,49.8232616201467
2016,5,Shrubland,39271500,0.043635,0.9476504306830682
2016,7,Grassland,272718900,0.303021,6.580909388243704
2016,8,Cropland,1605353400,1.783726,38.73836856011428
2016,9,Wetland,3163500,0.003515,0.07633760201331466
2016,11,Lichens and mosses,844200,0.000938,0.020371172315359645
2016,12,Bareland,270000,0.0003,0.006515300314080908
2016,13,Built-up,153467100,0.170519,3.703274980855875
2016,15,Water,5238000,0.00582,0.12639682609316963
2016,20,Forest,2063764800,2.293072,49.800175739367134
2017,5,Shrubland,39790800,0.044212,0.9601815249538176
2017,7,Grassland,271671300,0.301857,6.555630023025072
2017,8,Cropland,1603090800,1.781212,38.6837703434823
2017,9,Wetland,2943900,0.003271,0.07103849109119555
2017,11,Lichens and mosses,851400,0.000946,0.020544913657068474
2017,12,Bareland,300600,0.000334,0.007253701016343414
2017,13,Built-up,153306900,0.170341,3.6994092360028548
2017,15,Water,5328900,0.005921,0.1285903105322436
2017,20,Forest,2066806800,2.296452,49.87358145623912
2018,5,Shrubland,45346500,0.050385,1.094244687749889
2018,7,Grassland,272199600,0.302444,6.568378293972957
2018,8,Cropland,1596818700,1.774243,38.532419917186196
2018,9,Wetland,2751300,0.003057,0.06639091020048449
2018,11,Lichens and mosses,873900,0.000971,0.02108785534990855
2018,12,Bareland,296100,0.000329,0.007145112677775399
2018,13,Built-up,151510500,0.168345,3.656060771246503
2018,15,Water,5487300,0.006097,0.13241262004983773
2018,20,Forest,2068807500,2.298675,49.921859831566465
2019,5,Shrubland,48917700,0.054353,1.1804203932374655
2019,7,Grassland,268963200,0.298848,6.4902815608748385
2019,8,Cropland,1593453600,1.770504,38.45121755760502
2019,9,Wetland,2417400,0.002686,0.05833365547873774
2019,11,Lichens and mosses,945900,0.001051,0.022825268766996788
2019,12,Bareland,282600,0.000314,0.006819347662071351
2019,13,Built-up,149738400,0.166376,3.6132986835184178
2019,15,Water,5776200,0.006418,0.13938399138590424
2019,20,Forest,2073596400,2.303996,50.03741954147053
2020,5,Shrubland,47989800,0.053322,1.158029477824741
2020,7,Grassland,269329500,0.299255,6.499120651634276
2020,8,Cropland,1596983400,1.774426,38.53639425037778
2020,9,Wetland,2914200,0.003238,0.07032180805664663
2020,11,Lichens and mosses,865800,0.000962,0.02089239634048612
2020,12,Bareland,262800,0.000292,0.006341558972372087
2020,13,Built-up,149494500,0.166105,3.607413195568032
2020,15,Water,5416200,0.006018,0.13069692430046306
2020,20,Forest,2070835200,2.300928,49.970789736925205
2021,5,Shrubland,47249100,0.052499,1.1401558372964458
2021,7,Grassland,267480000,0.2972,6.454490844482823
2021,8,Cropland,1604808900,1.783121,38.725229371147556
2021,9,Wetland,3114900,0.003461,0.0751648479567801
2021,11,Lichens and mosses,786600,0.000874,0.018981241581689054
2021,12,Bareland,279000,0.00031,0.006732476991216941
2021,13,Built-up,146367000,0.16263,3.5319443002632616
2021,15,Water,5055300,0.005617,0.12198813954730824
2021,20,Forest,2068950600,2.298834,49.925312940732915
2022,5,Shrubland,46422000,0.05158,1.120197300667645
2022,7,Grassland,265671000,0.29519,6.410838332378481
2022,8,Cropland,1613986200,1.793318,38.946684428823175
2022,9,Wetland,3204900,0.003561,0.07733661472814042
2022,11,Lichens and mosses,846000,0.00094,0.020414607650786856
2022,12,Bareland,242100,0.000269,0.005842052614959217
2022,13,Built-up,141304500,0.157005,3.409782419374245
2022,15,Water,5015700,0.005573,0.12103256216790972
2022,20,Forest,2067399000,2.29711,49.887871681594675
