Period,From,From_Label,To,To_Label,Area_km2
1990-1995,20,Forest,15,Water,250.8183
1990-1995,20,Forest,16,Permanent ice and snow,6.0327
1990-1995,20,Forest,20,Forest,1126290.5559
1995-2000,5,Shrubland,5,Shrubland,420552.2601
1995-2000,5,Shrubland,7,Grassland,5492.7477
1995-2000,5,Shrubland,8,Cropland,22722.0813
1995-2000,5,Shrubland,9,Wetland,2280.888
1995-2000,5,Shrubland,11,Lichens and Mosses,416.7558
1995-2000,5,Shrubland,12,Bareland,1211.3127
1995-2000,5,Shrubland,13,Built-up,5657.6115
1995-2000,5,Shrubland,15,Water,97.1055
1995-2000,5,Shrubland,16,Permanent ice and snow,108.3996
1995-2000,5,Shrubland,20,Forest,19292.4945
1995-2000,7,Grassland,5,Shrubland,10345.698
1995-2000,7,Grassland,7,Grassland,469122.6357
1995-2000,7,Grassland,8,Cropland,32426.0406
1995-2000,7,Grassland,9,Wetland,634.131
1995-2000,7,Grassland,11,Lichens and Mosses,298.9539
1995-2000,7,Grassland,12,Bareland,1872.0414
1995-2000,7,Grassland,13,Built-up,4272.0975
1995-2000,7,Grassland,15,Water,27.6804
1995-2000,7,Grassland,16,Permanent ice and snow,2.8395
1995-2000,7,Grassland,20,Forest,10851.21
1995-2000,8,Cropland,5,Shrubland,20595.1086
1995-2000,8,Cropland,7,Grassland,22337.4645
1995-2000,8,Cropland,8,Cropland,1623195.7155
1995-2000,8,Cropland,9,Wetland,1903.9527
1995-2000,8,Cropland,11,Lichens and Mosses,199.9647
1995-2000,8,Cropland,12,Bareland,1708.8597
1995-2000,8,Cropland,13,Built-up,28946.4237
1995-2000,8,Cropland,15,Water,306.7047
1995-2000,8,Cropland,16,Permanent ice and snow,4.7295
1995-2000,8,Cropland,20,Forest,22993.9956
1995-2000,9,Wetland,5,Shrubland,311.0643
1995-2000,9,Wetland,7,Grassland,95.5026
1995-2000,9,Wetland,8,Cropland,1086.2604
1995-2000,9,Wetland,9,Wetland,23826.3408
1995-2000,9,Wetland,11,Lichens and Mosses,1.3545
1995-2000,9,Wetland,12,Bareland,134.5572
1995-2000,9,Wetland,13,Built-up,275.3253
1995-2000,9,Wetland,15,Water,450.855
1995-2000,9,Wetland,16,Permanent ice and snow,0.0108
1995-2000,9,Wetland,20,Forest,421.2441
1995-2000,11,Lichens and Mosses,11,Lichens and Mosses,0.0009
1995-2000,12,Bareland,5,Shrubland,1488.4758
1995-2000,12,Bareland,7,Grassland,2545.65
1995-2000,12,Bareland,8,Cropland,3360.5388
1995-2000,12,Bareland,9,Wetland,11257.0776
1995-2000,12,Bareland,11,Lichens and Mosses,45.1521
1995-2000,12,Bareland,12,Bareland,1085694.4098
1995-2000,12,Bareland,13,Built-up,2070.4077
1995-2000,12,Bareland,15,Water,128.6073
1995-2000,12,Bareland,16,Permanent ice and snow,50.9247
1995-2000,12,Bareland,20,Forest,263.3283
1995-2000,13,Built-up,5,Shrubland,890.5518
1995-2000,13,Built-up,7,Grassland,932.2587
1995-2000,13,Built-up,8,Cropland,7302.258
1995-2000,13,Built-up,9,Wetland,210.9825
1995-2000,13,Built-up,11,Lichens and Mosses,12.1644
1995-2000,13,Built-up,12,Bareland,159.3342
1995-2000,13,Built-up,13,Built-up,58120.0767
1995-2000,13,Built-up,15,Water,57.4758
1995-2000,13,Built-up,16,Permanent ice and snow,0.3582
1995-2000,13,Built-up,20,Forest,919.656
1995-2000,15,Water,5,Shrubland,147.4182
1995-2000,15,Water,7,Grassland,24.0444
1995-2000,15,Water,8,Cropland,218.6775
1995-2000,15,Water,9,Wetland,3654.6759
1995-2000,15,Water,11,Lichens and Mosses,2.9574
1995-2000,15,Water,12,Bareland,998.4915
1995-2000,15,Water,13,Built-up,127.1007
1995-2000,15,Water,15,Water,3533554.4697
1995-2000,15,Water,16,Permanent ice and snow,56.4876
1995-2000,15,Water,20,Forest,225.0783
1995-2000,16,Permanent ice and snow,5,Shrubland,42.2469
1995-2000,16,Permanent ice and snow,7,Grassland,1.2447
1995-2000,16,Permanent ice and snow,8,Cropland,2.6676
1995-2000,16,Permanent ice and snow,9,Wetland,0.0414
1995-2000,16,Permanent ice and snow,11,Lichens and Mosses,0.2763
1995-2000,16,Permanent ice and snow,12,Bareland,44.2845
1995-2000,16,Permanent ice and snow,13,Built-up,6.3504
1995-2000,16,Permanent ice and snow,15,Water,38.4669
1995-2000,16,Permanent ice and snow,16,Permanent ice and snow,4092.75
1995-2000,16,Permanent ice and snow,20,Forest,17.019
1995-2000,20,Forest,5,Shrubland,17021.5065
1995-2000,20,Forest,7,Grassland,4466.8998
1995-2000,20,Forest,8,Cropland,43011.9954
1995-2000,20,Forest,9,Wetland,552.006
1995-2000,20,Forest,11,Lichens and Mosses,25.5537
1995-2000,20,Forest,12,Bareland,237.0906
1995-2000,20,Forest,13,Built-up,2349.0054
1995-2000,20,Forest,15,Water,250.6473
1995-2000,20,Forest,16,Permanent ice and snow,29.3031
1995-2000,20,Forest,20,Forest,1075737.1914
2000-2001,5,Shrubland,5,Shrubland,459286.2432
2000-2001,5,Shrubland,7,Grassland,972.2583
2000-2001,5,Shrubland,8,Cropland,6971.0454
2000-2001,5,Shrubland,9,Wetland,421.1352
2000-2001,5,Shrubland,11,Lichens and Mosses,56.6262
2000-2001,5,Shrubland,12,Bareland,260.5347
2000-2001,5,Shrubland,13,Built-up,828.1782
2000-2001,5,Shrubland,15,Water,40.9842
2000-2001,5,Shrubland,16,Permanent ice and snow,43.5213
2000-2001,5,Shrubland,20,Forest,2513.7945
2000-2001,7,Grassland,5,Shrubland,1719.5094
2000-2001,7,Grassland,7,Grassland,491698.0449
2000-2001,7,Grassland,8,Cropland,8772.6771
2000-2001,7,Grassland,9,Wetland,178.3611
2000-2001,7,Grassland,11,Lichens and Mosses,30.816
2000-2001,7,Grassland,12,Bareland,685.0314
2000-2001,7,Grassland,13,Built-up,781.2531
2000-2001,7,Grassland,15,Water,3.0321
2000-2001,7,Grassland,16,Permanent ice and snow,1.6371
2000-2001,7,Grassland,20,Forest,1148.0751
2000-2001,8,Cropland,5,Shrubland,5627.241
2000-2001,8,Cropland,7,Grassland,6300.234
2000-2001,8,Cropland,8,Cropland,1708165.4436
2000-2001,8,Cropland,9,Wetland,860.0445
2000-2001,8,Cropland,11,Lichens and Mosses,56.1483
2000-2001,8,Cropland,12,Bareland,448.6302
2000-2001,8,Cropland,13,Built-up,6381.9297
2000-2001,8,Cropland,15,Water,40.428
2000-2001,8,Cropland,16,Permanent ice and snow,1.7721
2000-2001,8,Cropland,20,Forest,5444.3646
2000-2001,9,Wetland,5,Shrubland,382.7664
2000-2001,9,Wetland,7,Grassland,178.3782
2000-2001,9,Wetland,8,Cropland,853.1649
2000-2001,9,Wetland,9,Wetland,39676.0392
2000-2001,9,Wetland,11,Lichens and Mosses,0.8541
2000-2001,9,Wetland,12,Bareland,1612.5759
2000-2001,9,Wetland,13,Built-up,75.1437
2000-2001,9,Wetland,15,Water,1130.7303
2000-2001,9,Wetland,16,Permanent ice and snow,0.0387
2000-2001,9,Wetland,20,Forest,410.3973
2000-2001,11,Lichens and Mosses,5,Shrubland,48.2373
2000-2001,11,Lichens and Mosses,7,Grassland,27.8208
2000-2001,11,Lichens and Mosses,8,Cropland,53.8803
2000-2001,11,Lichens and Mosses,9,Wetland,1.2501
2000-2001,11,Lichens and Mosses,11,Lichens and Mosses,840.8601
2000-2001,11,Lichens and Mosses,12,Bareland,10.9656
2000-2001,11,Lichens and Mosses,13,Built-up,7.803
2000-2001,11,Lichens and Mosses,15,Water,0.8046
2000-2001,11,Lichens and Mosses,16,Permanent ice and snow,0.3105
2000-2001,11,Lichens and Mosses,20,Forest,11.2014
2000-2001,12,Bareland,5,Shrubland,344.3175
2000-2001,12,Bareland,7,Grassland,677.8404
2000-2001,12,Bareland,8,Cropland,778.1265
2000-2001,12,Bareland,9,Wetland,1067.409
2000-2001,12,Bareland,11,Lichens and Mosses,6.039
2000-2001,12,Bareland,12,Bareland,1088717.2794
2000-2001,12,Bareland,13,Built-up,331.8489
2000-2001,12,Bareland,15,Water,28.395
2000-2001,12,Bareland,16,Permanent ice and snow,41.5269
2000-2001,12,Bareland,20,Forest,67.5945
2000-2001,13,Built-up,5,Shrubland,772.947
2000-2001,13,Built-up,7,Grassland,592.0227
2000-2001,13,Built-up,8,Cropland,4543.2801
2000-2001,13,Built-up,9,Wetland,74.4786
2000-2001,13,Built-up,11,Lichens and Mosses,7.1433
2000-2001,13,Built-up,12,Bareland,231.7131
2000-2001,13,Built-up,13,Built-up,95028.786
2000-2001,13,Built-up,15,Water,19.7649
2000-2001,13,Built-up,16,Permanent ice and snow,3.0951
2000-2001,13,Built-up,20,Forest,551.2113
2000-2001,15,Water,5,Shrubland,43.056
2000-2001,15,Water,7,Grassland,7.3071
2000-2001,15,Water,8,Cropland,56.5587
2000-2001,15,Water,9,Wetland,1095.3828
2000-2001,15,Water,11,Lichens and Mosses,2.4732
2000-2001,15,Water,12,Bareland,84.7125
2000-2001,15,Water,13,Built-up,27.3204
2000-2001,15,Water,15,Water,3533480.5536
2000-2001,15,Water,16,Permanent ice and snow,39.1842
2000-2001,15,Water,20,Forest,75.4641
2000-2001,16,Permanent ice and snow,5,Shrubland,22.6998
2000-2001,16,Permanent ice and snow,7,Grassland,0.7974
2000-2001,16,Permanent ice and snow,8,Cropland,1.3455
2000-2001,16,Permanent ice and snow,9,Wetland,0.0459
2000-2001,16,Permanent ice and snow,11,Lichens and Mosses,0.1638
2000-2001,16,Permanent ice and snow,12,Bareland,13.3794
2000-2001,16,Permanent ice and snow,13,Built-up,1.5894
2000-2001,16,Permanent ice and snow,15,Water,17.0964
2000-2001,16,Permanent ice and snow,16,Permanent ice and snow,4280.9031
2000-2001,16,Permanent ice and snow,20,Forest,7.7823
2000-2001,20,Forest,5,Shrubland,3018.7422
2000-2001,20,Forest,7,Grassland,827.7192
2000-2001,20,Forest,8,Cropland,7667.6013
2000-2001,20,Forest,9,Wetland,396.7155
2000-2001,20,Forest,11,Lichens and Mosses,12.4893
2000-2001,20,Forest,12,Bareland,55.6569
2000-2001,20,Forest,13,Built-up,603.8559
2000-2001,20,Forest,15,Water,36.8532
2000-2001,20,Forest,16,Permanent ice and snow,17.0172
2000-2001,20,Forest,20,Forest,1118084.5539
2001-2002,5,Shrubland,5,Shrubland,458672.0184
2001-2002,5,Shrubland,7,Grassland,1219.4496
2001-2002,5,Shrubland,8,Cropland,7187.7933
2001-2002,5,Shrubland,9,Wetland,397.2177
2001-2002,5,Shrubland,11,Lichens and Mosses,41.8599
2001-2002,5,Shrubland,12,Bareland,324.1989
2001-2002,5,Shrubland,13,Built-up,841.1895
2001-2002,5,Shrubland,15,Water,38.3175
2001-2002,5,Shrubland,16,Permanent ice and snow,10.323
2001-2002,5,Shrubland,20,Forest,2533.3911
2001-2002,7,Grassland,5,Shrubland,1467.2277
2001-2002,7,Grassland,7,Grassland,486235.3932
2001-2002,7,Grassland,8,Cropland,11206.4283
2001-2002,7,Grassland,9,Wetland,170.9946
2001-2002,7,Grassland,11,Lichens and Mosses,24.2316
2001-2002,7,Grassland,12,Bareland,539.055
2001-2002,7,Grassland,13,Built-up,704.5272
2001-2002,7,Grassland,15,Water,4.1031
2001-2002,7,Grassland,16,Permanent ice and snow,0.6021
2001-2002,7,Grassland,20,Forest,929.8557
2001-2002,8,Cropland,5,Shrubland,5220.5103
2001-2002,8,Cropland,7,Grassland,6210.6453
2001-2002,8,Cropland,8,Cropland,1713335.9877
2001-2002,8,Cropland,9,Wetland,928.3338
2001-2002,8,Cropland,11,Lichens and Mosses,31.59
2001-2002,8,Cropland,12,Bareland,458.5635
2001-2002,8,Cropland,13,Built-up,5800.5234
2001-2002,8,Cropland,15,Water,43.4628
2001-2002,8,Cropland,16,Permanent ice and snow,0.5796
2001-2002,8,Cropland,20,Forest,5832.9036
2001-2002,9,Wetland,5,Shrubland,385.8516
2001-2002,9,Wetland,7,Grassland,178.2396
2001-2002,9,Wetland,8,Cropland,854.5671
2001-2002,9,Wetland,9,Wetland,39206.6343
2001-2002,9,Wetland,11,Lichens and Mosses,1.3788
2001-2002,9,Wetland,12,Bareland,1198.5543
2001-2002,9,Wetland,13,Built-up,87.8184
2001-2002,9,Wetland,15,Water,1406.0547
2001-2002,9,Wetland,16,Permanent ice and snow,0.0063
2001-2002,9,Wetland,20,Forest,451.7352
2001-2002,11,Lichens and Mosses,5,Shrubland,33.1776
2001-2002,11,Lichens and Mosses,7,Grassland,33.3891
2001-2002,11,Lichens and Mosses,8,Cropland,59.7033
2001-2002,11,Lichens and Mosses,9,Wetland,0.9837
2001-2002,11,Lichens and Mosses,11,Lichens and Mosses,855.0522
2001-2002,11,Lichens and Mosses,12,Bareland,16.3206
2001-2002,11,Lichens and Mosses,13,Built-up,6.4539
2001-2002,11,Lichens and Mosses,15,Water,0.9981
2001-2002,11,Lichens and Mosses,16,Permanent ice and snow,0.0468
2001-2002,11,Lichens and Mosses,20,Forest,7.4889
2001-2002,12,Bareland,5,Shrubland,429.2874
