Period,From,From_Label,To,To_Label,Area_km2
2007-2008,20,Forest,7,Grassland,988.0164
2007-2008,20,Forest,8,Cropland,6415.1532
2007-2008,20,Forest,9,Wetland,406.2492
2007-2008,20,Forest,11,Lichens and Mosses,8.2566
2007-2008,20,Forest,12,Bareland,86.2362
2007-2008,20,Forest,13,Built-up,537.2217
2007-2008,20,Forest,15,Water,38.5164
2007-2008,20,Forest,16,Permanent ice and snow,24.5403
2007-2008,20,Forest,20,Forest,1105692.1389
2008-2009,5,Shrubland,5,Shrubland,456949.8243
2008-2009,5,Shrubland,7,Grassland,1265.76
2008-2009,5,Shrubland,8,Cropland,5807.8836
2008-2009,5,Shrubland,9,Wetland,401.5611
2008-2009,5,Shrubland,11,Lichens and Mosses,28.4166
2008-2009,5,Shrubland,12,Bareland,256.4271
2008-2009,5,Shrubland,13,Built-up,806.6529
2008-2009,5,Shrubland,15,Water,34.4277
2008-2009,5,Shrubland,16,Permanent ice and snow,46.7514
2008-2009,5,Shrubland,20,Forest,2691.5076
2008-2009,7,Grassland,5,Shrubland,1228.1355
2008-2009,7,Grassland,7,Grassland,485792.8074
2008-2009,7,Grassland,8,Cropland,7879.0833
2008-2009,7,Grassland,9,Wetland,144.6471
2008-2009,7,Grassland,11,Lichens and Mosses,17.3178
2008-2009,7,Grassland,12,Bareland,609.8418
2008-2009,7,Grassland,13,Built-up,714.6324
2008-2009,7,Grassland,15,Water,6.4395
2008-2009,7,Grassland,16,Permanent ice and snow,1.6056
2008-2009,7,Grassland,20,Forest,850.0365
2008-2009,8,Cropland,5,Shrubland,5731.5438
2008-2009,8,Cropland,7,Grassland,6985.0413
2008-2009,8,Cropland,8,Cropland,1725294.4605
2008-2009,8,Cropland,9,Wetland,1071.432
2008-2009,8,Cropland,11,Lichens and Mosses,33.1173
2008-2009,8,Cropland,12,Bareland,757.6227
2008-2009,8,Cropland,13,Built-up,5405.4558
2008-2009,8,Cropland,15,Water,58.8771
2008-2009,8,Cropland,16,Permanent ice and snow,2.7783
2008-2009,8,Cropland,20,Forest,5548.4001
2008-2009,9,Wetland,5,Shrubland,356.4747
2008-2009,9,Wetland,7,Grassland,177.075
2008-2009,9,Wetland,8,Cropland,790.902
2008-2009,9,Wetland,9,Wetland,40245.4539
2008-2009,9,Wetland,11,Lichens and Mosses,1.4004
2008-2009,9,Wetland,12,Bareland,1086.7968
2008-2009,9,Wetland,13,Built-up,80.4726
2008-2009,9,Wetland,15,Water,1969.3701
2008-2009,9,Wetland,16,Permanent ice and snow,0.0576
2008-2009,9,Wetland,20,Forest,410.9868
2008-2009,11,Lichens and Mosses,5,Shrubland,28.3185
2008-2009,11,Lichens and Mosses,7,Grassland,24.8994
2008-2009,11,Lichens and Mosses,8,Cropland,38.2383
2008-2009,11,Lichens and Mosses,9,Wetland,1.6614
2008-2009,11,Lichens and Mosses,11,Lichens and Mosses,821.1456
2008-2009,11,Lichens and Mosses,12,Bareland,4.6341
2008-2009,11,Lichens and Mosses,13,Built-up,5.8698
2008-2009,11,Lichens and Mosses,15,Water,1.4877
2008-2009,11,Lichens and Mosses,16,Permanent ice and snow,0.3087
2008-2009,11,Lichens and Mosses,20,Forest,8.388
2008-2009,12,Bareland,5,Shrubland,307.0629
2008-2009,12,Bareland,7,Grassland,1342.7082
2008-2009,12,Bareland,8,Cropland,684.5094
2008-2009,12,Bareland,9,Wetland,815.8248
2008-2009,12,Bareland,11,Lichens and Mosses,7.9929
2008-2009,12,Bareland,12,Bareland,1085718.5208
2008-2009,12,Bareland,13,Built-up,313.1847
2008-2009,12,Bareland,15,Water,45.5877
2008-2009,12,Bareland,16,Permanent ice and snow,78.7275
2008-2009,12,Bareland,20,Forest,82.8306
2008-2009,13,Built-up,5,Shrubland,699.2334
2008-2009,13,Built-up,7,Grassland,661.4298
2008-2009,13,Built-up,8,Cropland,4547.934
2008-2009,13,Built-up,9,Wetland,85.3794
2008-2009,13,Built-up,11,Lichens and Mosses,5.6682
2008-2009,13,Built-up,12,Bareland,215.163
2008-2009,13,Built-up,13,Built-up,106438.1391
2008-2009,13,Built-up,15,Water,23.6736
2008-2009,13,Built-up,16,Permanent ice and snow,5.7753
2008-2009,13,Built-up,20,Forest,461.7639
2008-2009,15,Water,5,Shrubland,29.1699
2008-2009,15,Water,7,Grassland,4.788
2008-2009,15,Water,8,Cropland,38.3913
2008-2009,15,Water,9,Wetland,1033.6527
2008-2009,15,Water,11,Lichens and Mosses,0.738
2008-2009,15,Water,12,Bareland,54.4248
2008-2009,15,Water,13,Built-up,21.4776
2008-2009,15,Water,15,Water,3533560.2135
2008-2009,15,Water,16,Permanent ice and snow,90.5337
2008-2009,15,Water,20,Forest,35.415
2008-2009,16,Permanent ice and snow,5,Shrubland,52.0974
2008-2009,16,Permanent ice and snow,7,Grassland,2.4687
2008-2009,16,Permanent ice and snow,8,Cropland,1.5813
2008-2009,16,Permanent ice and snow,9,Wetland,0.0234
2008-2009,16,Permanent ice and snow,11,Lichens and Mosses,0.1755
2008-2009,16,Permanent ice and snow,12,Bareland,44.4816
2008-2009,16,Permanent ice and snow,13,Built-up,2.2347
2008-2009,16,Permanent ice and snow,15,Water,20.4327
2008-2009,16,Permanent ice and snow,16,Permanent ice and snow,3504.3786
2008-2009,16,Permanent ice and snow,20,Forest,6.8085
2008-2009,20,Forest,5,Shrubland,2991.0123
2008-2009,20,Forest,7,Grassland,788.8536
2008-2009,20,Forest,8,Cropland,5170.3803
2008-2009,20,Forest,9,Wetland,453.2769
2008-2009,20,Forest,11,Lichens and Mosses,7.7175
2008-2009,20,Forest,12,Bareland,44.9955
2008-2009,20,Forest,13,Built-up,505.953
2008-2009,20,Forest,15,Water,41.9067
2008-2009,20,Forest,16,Permanent ice and snow,23.1111
2008-2009,20,Forest,20,Forest,1105377.777
2009-2010,5,Shrubland,5,Shrubland,456897.3237
2009-2010,5,Shrubland,7,Grassland,1552.032
2009-2010,5,Shrubland,8,Cropland,5737.2507
2009-2010,5,Shrubland,9,Wetland,345.3057
2009-2010,5,Shrubland,11,Lichens and Mosses,33.4359
2009-2010,5,Shrubland,12,Bareland,207.3537
2009-2010,5,Shrubland,13,Built-up,712.8099
2009-2010,5,Shrubland,15,Water,42.9156
2009-2010,5,Shrubland,16,Permanent ice and snow,23.8554
2009-2010,5,Shrubland,20,Forest,2820.5991
2009-2010,7,Grassland,5,Shrubland,1614.9402
2009-2010,7,Grassland,7,Grassland,483366.5352
2009-2010,7,Grassland,8,Cropland,9687.1617
2009-2010,7,Grassland,9,Wetland,165.1059
2009-2010,7,Grassland,11,Lichens and Mosses,23.5503
2009-2010,7,Grassland,12,Bareland,443.8845
2009-2010,7,Grassland,13,Built-up,716.0994
2009-2010,7,Grassland,15,Water,5.1651
2009-2010,7,Grassland,16,Permanent ice and snow,1.2492
2009-2010,7,Grassland,20,Forest,1022.1345
2009-2010,8,Cropland,5,Shrubland,5702.2218
2009-2010,8,Cropland,7,Grassland,8049.3867
2009-2010,8,Cropland,8,Cropland,1724618.5029
2009-2010,8,Cropland,9,Wetland,821.8089
2009-2010,8,Cropland,11,Lichens and Mosses,41.1732
2009-2010,8,Cropland,12,Bareland,489.6891
2009-2010,8,Cropland,13,Built-up,5151.312
2009-2010,8,Cropland,15,Water,70.0722
2009-2010,8,Cropland,16,Permanent ice and snow,0.8154
2009-2010,8,Cropland,20,Forest,5308.3809
2009-2010,9,Wetland,5,Shrubland,293.1552
2009-2010,9,Wetland,7,Grassland,125.6859
2009-2010,9,Wetland,8,Cropland,654.219
2009-2010,9,Wetland,9,Wetland,39925.8657
2009-2010,9,Wetland,11,Lichens and Mosses,1.9944
2009-2010,9,Wetland,12,Bareland,790.029
2009-2010,9,Wetland,13,Built-up,79.7391
2009-2010,9,Wetland,15,Water,1957.4433
2009-2010,9,Wetland,16,Permanent ice and snow,0.0117
2009-2010,9,Wetland,20,Forest,424.7685
2009-2010,11,Lichens and Mosses,5,Shrubland,30.7791
2009-2010,11,Lichens and Mosses,7,Grassland,36.8433
2009-2010,11,Lichens and Mosses,8,Cropland,43.7706
2009-2010,11,Lichens and Mosses,9,Wetland,1.0062
2009-2010,11,Lichens and Mosses,11,Lichens and Mosses,794.3229
2009-2010,11,Lichens and Mosses,12,Bareland,1.6992
2009-2010,11,Lichens and Mosses,13,Built-up,6.0588
2009-2010,11,Lichens and Mosses,15,Water,0.8388
2009-2010,11,Lichens and Mosses,16,Permanent ice and snow,0.0792
2009-2010,11,Lichens and Mosses,20,Forest,8.2917
2009-2010,12,Bareland,5,Shrubland,361.8126
2009-2010,12,Bareland,7,Grassland,1309.59
2009-2010,12,Bareland,8,Cropland,826.4817
2009-2010,12,Bareland,9,Wetland,1235.5524
2009-2010,12,Bareland,11,Lichens and Mosses,4.1562
2009-2010,12,Bareland,12,Bareland,1084562.7381
2009-2010,12,Bareland,13,Built-up,315.4473
2009-2010,12,Bareland,15,Water,63.0297
2009-2010,12,Bareland,16,Permanent ice and snow,29.376
2009-2010,12,Bareland,20,Forest,84.717
2009-2010,13,Built-up,5,Shrubland,730.8369
2009-2010,13,Built-up,7,Grassland,619.8894
2009-2010,13,Built-up,8,Cropland,4457.7387
2009-2010,13,Built-up,9,Wetland,76.0698
2009-2010,13,Built-up,11,Lichens and Mosses,6.8391
2009-2010,13,Built-up,12,Bareland,205.7121
2009-2010,13,Built-up,13,Built-up,107738.7507
2009-2010,13,Built-up,15,Water,19.7874
2009-2010,13,Built-up,16,Permanent ice and snow,1.1934
2009-2010,13,Built-up,20,Forest,437.2614
2009-2010,15,Water,5,Shrubland,30.7881
2009-2010,15,Water,7,Grassland,5.7438
2009-2010,15,Water,8,Cropland,47.8476
2009-2010,15,Water,9,Wetland,1182.1842
2009-2010,15,Water,11,Lichens and Mosses,1.3644
2009-2010,15,Water,12,Bareland,39.2895
2009-2010,15,Water,13,Built-up,25.4682
2009-2010,15,Water,15,Water,3534371.4339
2009-2010,15,Water,16,Permanent ice and snow,10.1349
2009-2010,15,Water,20,Forest,48.1626
2009-2010,16,Permanent ice and snow,5,Shrubland,80.6409
2009-2010,16,Permanent ice and snow,7,Grassland,3.5028
2009-2010,16,Permanent ice and snow,8,Cropland,4.1148
2009-2010,16,Permanent ice and snow,9,Wetland,0.1431
2009-2010,16,Permanent ice and snow,11,Lichens and Mosses,0.4842
2009-2010,16,Permanent ice and snow,12,Bareland,110.2131
2009-2010,16,Permanent ice and snow,13,Built-up,8.8551
2009-2010,16,Permanent ice and snow,15,Water,124.9047
2009-2010,16,Permanent ice and snow,16,Permanent ice and snow,3383.8848
2009-2010,16,Permanent ice and snow,20,Forest,37.2861
2009-2010,20,Forest,5,Shrubland,2706.5628
2009-2010,20,Forest,7,Grassland,1066.9815
2009-2010,20,Forest,8,Cropland,5520.4506
2009-2010,20,Forest,9,Wetland,447.9939
2009-2010,20,Forest,11,Lichens and Mosses,9.0549
2009-2010,20,Forest,12,Bareland,37.08
2009-2010,20,Forest,13,Built-up,477.1872
2009-2010,20,Forest,15,Water,38.8341
2009-2010,20,Forest,16,Permanent ice and snow,2.6586
2009-2010,20,Forest,20,Forest,1105167.1113
2010-2011,5,Shrubland,5,Shrubland,459306.2358
2010-2011,5,Shrubland,7,Grassland,1095.2847
2010-2011,5,Shrubland,8,Cropland,4511.9835
2010-2011,5,Shrubland,9,Wetland,333.9792
2010-2011,5,Shrubland,11,Lichens and Mosses,35.0199
2010-2011,5,Shrubland,12,Bareland,195.3693
2010-2011,5,Shrubland,13,Built-up,721.4778
2010-2011,5,Shrubland,15,Water,46.8072
2010-2011,5,Shrubland,16,Permanent ice and snow,83.7306
2010-2011,5,Shrubland,20,Forest,2119.1661
2010-2011,7,Grassland,5,Shrubland,1214.5896
2010-2011,7,Grassland,7,Grassland,486124.9992
2010-2011,7,Grassland,8,Cropland,6739.9695
2010-2011,7,Grassland,9,Wetland,143.739
2010-2011,7,Grassland,11,Lichens and Mosses,30.8754
2010-2011,7,Grassland,12,Bareland,424.9305
2010-2011,7,Grassland,13,Built-up,682.1388
2010-2011,7,Grassland,15,Water,5.1453
2010-2011,7,Grassland,16,Permanent ice and snow,5.103
2010-2011,7,Grassland,20,Forest,764.7138
2010-2011,8,Cropland,5,Shrubland,4567.8753
2010-2011,8,Cropland,7,Grassland,5585.4972
2010-2011,8,Cropland,8,Cropland,1731028.8699
2010-2011,8,Cropland,9,Wetland,755.7372
2010-2011,8,Cropland,11,Lichens and Mosses,41.1912
2010-2011,8,Cropland,12,Bareland,321.1146
2010-2011,8,Cropland,13,Built-up,5073.0606
2010-2011,8,Cropland,15,Water,78.984
2010-2011,8,Cropland,16,Permanent ice and snow,2.5218
2010-2011,8,Cropland,20,Forest,4142.6865
2010-2011,9,Wetland,5,Shrubland,323.451
2010-2011,9,Wetland,7,Grassland,157.2129
2010-2011,9,Wetland,8,Cropland,627.2892
2010-2011,9,Wetland,9,Wetland,39339.7848
2010-2011,9,Wetland,11,Lichens and Mosses,2.4903
2010-2011,9,Wetland,12,Bareland,1392.6537
2010-2011,9,Wetland,13,Built-up,85.644
2010-2011,9,Wetland,15,Water,1875.2004
2010-2011,9,Wetland,16,Permanent ice and snow,0.0432
2010-2011,9,Wetland,20,Forest,397.2645
2010-2011,11,Lichens and Mosses,5,Shrubland,25.5996
2010-2011,11,Lichens and Mosses,7,Grassland,25.0758
2010-2011,11,Lichens and Mosses,8,Cropland,33.3441
2010-2011,11,Lichens and Mosses,9,Wetland,1.7289
2010-2011,11,Lichens and Mosses,11,Lichens and Mosses,808.3089
2010-2011,11,Lichens and Mosses,12,Bareland,2.1231
2010-2011,11,Lichens and Mosses,13,Built-up,7.4736
2010-2011,11,Lichens and Mosses,15,Water,1.8702
2010-2011,11,Lichens and Mosses,16,Permanent ice and snow,0.2295
2010-2011,11,Lichens and Mosses,20,Forest,10.6209
2010-2011,12,Bareland,5,Shrubland,372.0096
2010-2011,12,Bareland,7,Grassland,985.9392
2010-2011,12,Bareland,8,Cropland,638.4384
2010-2011,12,Bareland,9,Wetland,776.3589
2010-2011,12,Bareland,11,Lichens and Mosses,7.1541
2010-2011,12,Bareland,12,Bareland,1083596.634
2010-2011,12,Bareland,13,Built-up,296.9154
2010-2011,12,Bareland,15,Water,43.8606
2010-2011,12,Bareland,16,Permanent ice and snow,95.1156
2010-2011,12,Bareland,20,Forest,75.2634
2010-2011,13,Built-up,5,Shrubland,683.523
2010-2011,13,Built-up,7,Grassland,644.211
2010-2011,13,Built-up,8,Cropland,4327.1073
2010-2011,13,Built-up,9,Wetland,71.298
2010-2011,13,Built-up,11,Lichens and Mosses,6.6717
2010-2011,13,Built-up,12,Bareland,201.2535
2010-2011,13,Built-up,13,Built-up,108839.8566
2010-2011,13,Built-up,15,Water,21.4803
2010-2011,13,Built-up,16,Permanent ice and snow,4.8168
2010-2011,13,Built-up,20,Forest,431.5122
2010-2011,15,Water,5,Shrubland,24.6537
2010-2011,15,Water,7,Grassland,4.7322
2010-2011,15,Water,8,Cropland,32.6709
2010-2011,15,Water,9,Wetland,1203.3459
2010-2011,15,Water,11,Lichens and Mosses,1.5957
2010-2011,15,Water,12,Bareland,40.3047
2010-2011,15,Water,13,Built-up,22.4334
2010-2011,15,Water,15,Water,3535291.647
2010-2011,15,Water,16,Permanent ice and snow,36.4563
2010-2011,15,Water,20,Forest,36.585
2010-2011,16,Permanent ice and snow,5,Shrubland,24.6807
2010-2011,16,Permanent ice and snow,7,Grassland,1.1331
2010-2011,16,Permanent ice and snow,8,Cropland,2.0142
2010-2011,16,Permanent ice and snow,9,Wetland,0.0702
2010-2011,16,Permanent ice and snow,11,Lichens and Mosses,0.162
2010-2011,16,Permanent ice and snow,12,Bareland,38.4507
2010-2011,16,Permanent ice and snow,13,Built-up,2.4138
2010-2011,16,Permanent ice and snow,15,Water,55.1565
2010-2011,16,Permanent ice and snow,16,Permanent ice and snow,3314.8008
2010-2011,16,Permanent ice and snow,20,Forest,14.3757
2010-2011,20,Forest,5,Shrubland,2531.0511
2010-2011,20,Forest,7,Grassland,772.5537
2010-2011,20,Forest,8,Cropland,4919.1165
2010-2011,20,Forest,9,Wetland,454.2174
2010-2011,20,Forest,11,Lichens and Mosses,9.4572
2010-2011,20,Forest,12,Bareland,37.2861
2010-2011,20,Forest,13,Built-up,453.4029
2010-2011,20,Forest,15,Water,42.4575
2010-2011,20,Forest,16,Permanent ice and snow,13.3452
2010-2011,20,Forest,20,Forest,1106125.8264
2011-2012,5,Shrubland,5,Shrubland,454572.7542
2011-2012,5,Shrubland,7,Grassland,1258.8282
2011-2012,5,Shrubland,8,Cropland,7569.9396
2011-2012,5,Shrubland,9,Wetland,450.0
2011-2012,5,Shrubland,11,Lichens and Mosses,36.7659
2011-2012,5,Shrubland,12,Bareland,350.4303
2011-2012,5,Shrubland,13,Built-up,786.1617
2011-2012,5,Shrubland,15,Water,57.8106
2011-2012,5,Shrubland,16,Permanent ice and snow,249.2109
2011-2012,5,Shrubland,20,Forest,3741.7689
2011-2012,7,Grassland,5,Shrubland,1283.2776
2011-2012,7,Grassland,7,Grassland,481424.5044
2011-2012,7,Grassland,8,Cropland,9906.9471
2011-2012,7,Grassland,9,Wetland,222.7698
2011-2012,7,Grassland,11,Lichens and Mosses,28.4742
2011-2012,7,Grassland,12,Bareland,726.5322
2011-2012,7,Grassland,13,Built-up,761.184
2011-2012,7,Grassland,15,Water,5.4351
2011-2012,7,Grassland,16,Permanent ice and snow,13.1499
2011-2012,7,Grassland,20,Forest,1024.3638
2011-2012,8,Cropland,5,Shrubland,6193.6524
2011-2012,8,Cropland,7,Grassland,8992.5615
2011-2012,8,Cropland,8,Cropland,1723956.1974
2011-2012,8,Cropland,9,Wetland,763.9956
2011-2012,8,Cropland,11,Lichens and Mosses,45.6858
2011-2012,8,Cropland,12,Bareland,577.6308
2011-2012,8,Cropland,13,Built-up,5378.8626
2011-2012,8,Cropland,15,Water,57.9699
2011-2012,8,Cropland,16,Permanent ice and snow,9.4878
2011-2012,8,Cropland,20,Forest,6884.7552
2011-2012,9,Wetland,5,Shrubland,409.8618
2011-2012,9,Wetland,7,Grassland,120.4119
2011-2012,9,Wetland,8,Cropland,757.9458
2011-2012,9,Wetland,9,Wetland,38753.1666
2011-2012,9,Wetland,11,Lichens and Mosses,2.5902
2011-2012,9,Wetland,12,Bareland,1018.7172
2011-2012,9,Wetland,13,Built-up,82.4742
2011-2012,9,Wetland,15,Water,1491.3387
2011-2012,9,Wetland,16,Permanent ice and snow,0.2817
2011-2012,9,Wetland,20,Forest,443.4633
2011-2012,11,Lichens and Mosses,5,Shrubland,31.7574
2011-2012,11,Lichens and Mosses,7,Grassland,30.879
2011-2012,11,Lichens and Mosses,8,Cropland,58.5558
2011-2012,11,Lichens and Mosses,9,Wetland,2.5875
2011-2012,11,Lichens and Mosses,11,Lichens and Mosses,793.6947
2011-2012,11,Lichens and Mosses,12,Bareland,3.5505
2011-2012,11,Lichens and Mosses,13,Built-up,7.3008
2011-2012,11,Lichens and Mosses,15,Water,1.6515
2011-2012,11,Lichens and Mosses,16,Permanent ice and snow,1.1763
2011-2012,11,Lichens and Mosses,20,Forest,11.7747
2011-2012,12,Bareland,5,Shrubland,287.1585
2011-2012,12,Bareland,7,Grassland,1027.3203
2011-2012,12,Bareland,8,Cropland,1104.0795
2011-2012,12,Bareland,9,Wetland,1791.1629
2011-2012,12,Bareland,11,Lichens and Mosses,2.2176
2011-2012,12,Bareland,12,Bareland,1081429.5699
2011-2012,12,Bareland,13,Built-up,281.3805
2011-2012,12,Bareland,15,Water,46.6992
2011-2012,12,Bareland,16,Permanent ice and snow,197.8209
2011-2012,12,Bareland,20,Forest,82.7046
2011-2012,13,Built-up,5,Shrubland,747.4536
2011-2012,13,Built-up,7,Grassland,680.9814
2011-2012,13,Built-up,8,Cropland,5109.1956
2011-2012,13,Built-up,9,Wetland,90.2106
2011-2012,13,Built-up,11,Lichens and Mosses,6.9615
2011-2012,13,Built-up,12,Bareland,225.864
2011-2012,13,Built-up,13,Built-up,108766.4148
2011-2012,13,Built-up,15,Water,24.0804
2011-2012,13,Built-up,16,Permanent ice and snow,13.5738
2011-2012,13,Built-up,20,Forest,520.0839
2011-2012,15,Water,5,Shrubland,39.9789
2011-2012,15,Water,7,Grassland,5.3487
2011-2012,15,Water,8,Cropland,74.8917
2011-2012,15,Water,9,Wetland,1520.8605
2011-2012,15,Water,11,Lichens and Mosses,7.146
2011-2012,15,Water,12,Bareland,110.5344
2011-2012,15,Water,13,Built-up,27.981
2011-2012,15,Water,15,Water,3535467.0651
2011-2012,15,Water,16,Permanent ice and snow,162.9144
2011-2012,15,Water,20,Forest,45.8883
2011-2012,16,Permanent ice and snow,5,Shrubland,2.7729
2011-2012,16,Permanent ice and snow,7,Grassland,0.1755
2011-2012,16,Permanent ice and snow,8,Cropland,0.2097
2011-2012,16,Permanent ice and snow,9,Wetland,0.0054
2011-2012,16,Permanent ice and snow,11,Lichens and Mosses,0.0234
2011-2012,16,Permanent ice and snow,12,Bareland,10.8522
2011-2012,16,Permanent ice and snow,13,Built-up,0.7389
2011-2012,16,Permanent ice and snow,15,Water,13.9833
2011-2012,16,Permanent ice and snow,16,Permanent ice and snow,3525.3369
2011-2012,16,Permanent ice and snow,20,Forest,2.0646
2011-2012,20,Forest,5,Shrubland,3722.9589
2011-2012,20,Forest,7,Grassland,922.1418
2011-2012,20,Forest,8,Cropland,8874.9036
2011-2012,20,Forest,9,Wetland,419.3199
2011-2012,20,Forest,11,Lichens and Mosses,9.5724
2011-2012,20,Forest,12,Bareland,60.6465
2011-2012,20,Forest,13,Built-up,473.3712
2011-2012,20,Forest,15,Water,64.9863
2011-2012,20,Forest,16,Permanent ice and snow,62.6895
2011-2012,20,Forest,20,Forest,1099507.4262
2012-2013,5,Shrubland,5,Shrubland,453208.9914
2012-2013,5,Shrubland,7,Grassland,1660.0824
2012-2013,5,Shrubland,8,Cropland,6836.6043
2012-2013,5,Shrubland,9,Wetland,453.8925
2012-2013,5,Shrubland,11,Lichens and Mosses,72.315
2012-2013,5,Shrubland,12,Bareland,374.5926
2012-2013,5,Shrubland,13,Built-up,776.9196
2012-2013,5,Shrubland,15,Water,31.9329
2012-2013,5,Shrubland,16,Permanent ice and snow,136.1178
2012-2013,5,Shrubland,20,Forest,3740.1651
2012-2013,7,Grassland,5,Shrubland,1747.6866
2012-2013,7,Grassland,7,Grassland,480043.3329
2012-2013,7,Grassland,8,Cropland,9616.311
2012-2013,7,Grassland,9,Wetland,131.472
2012-2013,7,Grassland,11,Lichens and Mosses,47.3022
2012-2013,7,Grassland,12,Bareland,951.4872
2012-2013,7,Grassland,13,Built-up,732.0735
2012-2013,7,Grassland,15,Water,3.807
2012-2013,7,Grassland,16,Permanent ice and snow,12.5982
2012-2013,7,Grassland,20,Forest,1177.0758
2012-2013,8,Cropland,5,Shrubland,7522.3152
2012-2013,8,Cropland,7,Grassland,10901.5929
2012-2013,8,Cropland,8,Cropland,1723643.8623
2012-2013,8,Cropland,9,Wetland,731.1213
2012-2013,8,Cropland,11,Lichens and Mosses,63.1953
2012-2013,8,Cropland,12,Bareland,916.5042
2012-2013,8,Cropland,13,Built-up,5529.6864
2012-2013,8,Cropland,15,Water,50.4351
2012-2013,8,Cropland,16,Permanent ice and snow,9.4428
2012-2013,8,Cropland,20,Forest,8044.7121
2012-2013,9,Wetland,5,Shrubland,336.2031
2012-2013,9,Wetland,7,Grassland,178.7778
2012-2013,9,Wetland,8,Cropland,765.2808
2012-2013,9,Wetland,9,Wetland,39203.0118
2012-2013,9,Wetland,11,Lichens and Mosses,2.1726
2012-2013,9,Wetland,12,Bareland,1509.138
2012-2013,9,Wetland,13,Built-up,88.038
2012-2013,9,Wetland,15,Water,1487.9997
2012-2013,9,Wetland,16,Permanent ice and snow,0.2601
2012-2013,9,Wetland,20,Forest,443.1924
2012-2013,11,Lichens and Mosses,5,Shrubland,38.7333
2012-2013,11,Lichens and Mosses,7,Grassland,37.5921
2012-2013,11,Lichens and Mosses,8,Cropland,61.9092
2012-2013,11,Lichens and Mosses,9,Wetland,2.646
2012-2013,11,Lichens and Mosses,11,Lichens and Mosses,767.4426
2012-2013,11,Lichens and Mosses,12,Bareland,3.3696
2012-2013,11,Lichens and Mosses,13,Built-up,7.1298
2012-2013,11,Lichens and Mosses,15,Water,1.971
2012-2013,11,Lichens and Mosses,16,Permanent ice and snow,1.0737
2012-2013,11,Lichens and Mosses,20,Forest,11.2626
2012-2013,12,Bareland,5,Shrubland,278.4564
2012-2013,12,Bareland,7,Grassland,1014.8544
2012-2013,12,Bareland,8,Cropland,800.2359
2012-2013,12,Bareland,9,Wetland,1321.7292
2012-2013,12,Bareland,11,Lichens and Mosses,5.1525
2012-2013,12,Bareland,12,Bareland,1080390.7746
2012-2013,12,Bareland,13,Built-up,246.6342
2012-2013,12,Bareland,15,Water,291.0699
2012-2013,12,Bareland,16,Permanent ice and snow,89.4735
2012-2013,12,Bareland,20,Forest,75.9537
2012-2013,13,Built-up,5,Shrubland,774.5454
2012-2013,13,Built-up,7,Grassland,696.2283
2012-2013,13,Built-up,8,Cropland,4877.1414
2012-2013,13,Built-up,9,Wetland,85.5198
2012-2013,13,Built-up,11,Lichens and Mosses,7.1748
2012-2013,13,Built-up,12,Bareland,256.7124
2012-2013,13,Built-up,13,Built-up,109351.5336
2012-2013,13,Built-up,15,Water,24.6942
2012-2013,13,Built-up,16,Permanent ice and snow,12.8466
2012-2013,13,Built-up,20,Forest,479.4534
2012-2013,15,Water,5,Shrubland,45.1971
2012-2013,15,Water,7,Grassland,4.0653
2012-2013,15,Water,8,Cropland,67.6512
2012-2013,15,Water,9,Wetland,1763.1027
2012-2013,15,Water,11,Lichens and Mosses,1.6884
2012-2013,15,Water,12,Bareland,49.5954
2012-2013,15,Water,13,Built-up,22.2957
2012-2013,15,Water,15,Water,3535050.2976
2012-2013,15,Water,16,Permanent ice and snow,177.8706
2012-2013,15,Water,20,Forest,49.257
2012-2013,16,Permanent ice and snow,5,Shrubland,0.0135
2012-2013,16,Permanent ice and snow,7,Grassland,0.0063
2012-2013,16,Permanent ice and snow,12,Bareland,0.0063
2012-2013,16,Permanent ice and snow,13,Built-up,0.3159
2012-2013,16,Permanent ice and snow,15,Water,0.117
2012-2013,16,Permanent ice and snow,16,Permanent ice and snow,4235.1804
2012-2013,16,Permanent ice and snow,20,Forest,0.0045
2012-2013,20,Forest,5,Shrubland,3610.6182
2012-2013,20,Forest,7,Grassland,991.2033
2012-2013,20,Forest,8,Cropland,7836.6411
2012-2013,20,Forest,9,Wetland,412.1469
2012-2013,20,Forest,11,Lichens and Mosses,16.1505
2012-2013,20,Forest,12,Bareland,79.164
2012-2013,20,Forest,13,Built-up,538.9443
2012-2013,20,Forest,15,Water,49.2219
2012-2013,20,Forest,16,Permanent ice and snow,60.6735
2012-2013,20,Forest,20,Forest,1098669.5262
2013-2014,5,Shrubland,5,Shrubland,455056.8399
2013-2014,5,Shrubland,7,Grassland,1504.1565
2013-2014,5,Shrubland,8,Cropland,6221.88
2013-2014,5,Shrubland,9,Wetland,348.3891
2013-2014,5,Shrubland,11,Lichens and Mosses,66.2382
2013-2014,5,Shrubland,12,Bareland,356.0679
2013-2014,5,Shrubland,13,Built-up,745.4736
2013-2014,5,Shrubland,15,Water,36.7812
2013-2014,5,Shrubland,16,Permanent ice and snow,6.0237
2013-2014,5,Shrubland,20,Forest,3220.8975
2013-2014,7,Grassland,5,Shrubland,1514.3769
2013-2014,7,Grassland,7,Grassland,481430.8863
2013-2014,7,Grassland,8,Cropland,9625.3389
2013-2014,7,Grassland,9,Wetland,163.8783
2013-2014,7,Grassland,11,Lichens and Mosses,50.8113
2013-2014,7,Grassland,12,Bareland,949.0806
