From,To,Count,Area_km2,From_Label,To_Label,Period
16,8,1607,1.4463,Permanent ice and snow,Cropland,1990-1995
16,9,1,0.0009,Permanent ice and snow,Wetland,1990-1995
16,12,19043,17.1387,Permanent ice and snow,Bareland,1990-1995
16,13,121,0.1089,Permanent ice and snow,Built-up,1990-1995
16,15,17511,15.7599,Permanent ice and snow,Water,1990-1995
16,16,4649204,4184.2836,Permanent ice and snow,Permanent ice and snow,1990-1995
16,20,11589,10.4301,Permanent ice and snow,Forest,1990-1995
20,5,7108376,6397.5384,Forest,Shrubland,1990-1995
20,7,2516442,2264.7978,Forest,Grassland,1990-1995
20,8,14024040,12621.636,Forest,Cropland,1990-1995
20,9,542446,488.2014,Forest,Wetland,1990-1995
20,12,9552,8.5968,Forest,Bareland,1990-1995
20,13,216981,195.2829,Forest,Built-up,1990-1995
20,15,278687,250.8183,Forest,Water,1990-1995
20,16,6703,6.0327,Forest,Permanent ice and snow,1990-1995
20,20,1251433951,1126290.5559,Forest,Forest,1990-1995
5,5,467280289,420552.2601,Shrubland,Shrubland,1995-2000
5,7,6103053,5492.7477,Shrubland,Grassland,1995-2000
5,8,25246757,22722.0813,Shrubland,Cropland,1995-2000
5,9,2534320,2280.888,Shrubland,Wetland,1995-2000
5,11,463062,416.7558,Shrubland,Lichens and Mosses,1995-2000
5,12,1345903,1211.3127,Shrubland,Bareland,1995-2000
5,13,6286235,5657.6115,Shrubland,Built-up,1995-2000
5,15,107895,97.1055,Shrubland,Water,1995-2000
5,16,120444,108.3996,Shrubland,Permanent ice and snow,1995-2000
5,20,21436105,19292.4945,Shrubland,Forest,1995-2000
7,5,11495220,10345.698,Grassland,Shrubland,1995-2000
7,7,521247373,469122.6357,Grassland,Grassland,1995-2000
7,8,36028934,32426.0406,Grassland,Cropland,1995-2000
7,9,704590,634.131,Grassland,Wetland,1995-2000
7,11,332171,298.9539,Grassland,Lichens and Mosses,1995-2000
7,12,2080046,1872.0414,Grassland,Bareland,1995-2000
7,13,4746775,4272.0975,Grassland,Built-up,1995-2000
7,15,30756,27.6804,Grassland,Water,1995-2000
7,16,3155,2.8395,Grassland,Permanent ice and snow,1995-2000
7,20,12056900,10851.21,Grassland,Forest,1995-2000
8,5,22883454,20595.1086,Cropland,Shrubland,1995-2000
8,7,24819405,22337.4645,Cropland,Grassland,1995-2000
8,8,1803550795,1623195.7155,Cropland,Cropland,1995-2000
8,9,2115503,1903.9527,Cropland,Wetland,1995-2000
8,11,222183,199.9647,Cropland,Lichens and Mosses,1995-2000
8,12,1898733,1708.8597,Cropland,Bareland,1995-2000
8,13,32162693,28946.4237,Cropland,Built-up,1995-2000
8,15,340783,306.7047,Cropland,Water,1995-2000
8,16,5255,4.7295,Cropland,Permanent ice and snow,1995-2000
8,20,25548884,22993.9956,Cropland,Forest,1995-2000
9,5,345627,311.0643,Wetland,Shrubland,1995-2000
9,7,106114,95.5026,Wetland,Grassland,1995-2000
9,8,1206956,1086.2604,Wetland,Cropland,1995-2000
9,9,26473712,23826.3408,Wetland,Wetland,1995-2000
9,11,1505,1.3545,Wetland,Lichens and Mosses,1995-2000
9,12,149508,134.5572,Wetland,Bareland,1995-2000
9,13,305917,275.3253,Wetland,Built-up,1995-2000
