year,code,count,class,area_km2,pct
1998,11,2085,Lichens & Mosses,187.65,0.0021771303886522326
1998,12,14884575,Bareland,1339611.75,15.542283239651464
1998,13,519182,Built-up,46726.38,0.5421232179574309
1998,15,39443855,Water,3549946.9499999997,41.186769959756504
1998,16,22194,Ice/Snow,1997.46,0.023174691532732685
1998,20,10986440,Forest,988779.6,11.471900425469753
1999,5,2566668,Shrubland,231000.12,2.6800819666097113
1999,7,4664572,Grassland,419811.48,4.870686547365143
1999,8,22537317,Cropland,2028358.53,23.533178762296675
1999,9,161441,Wetland,14529.689999999999,0.16857463169036216
1999,11,2080,Lichens & Mosses,187.2,0.002171909452468414
1999,12,14899679,Bareland,1340971.1099999999,15.558054643675542
1999,13,536228,Built-up,48260.52,0.5599224335953042
1999,15,39434142,Water,3549072.78,41.176627769125815
1999,16,22194,Ice/Snow,1997.46,0.023174691532732685
1999,20,10943944,Forest,984954.96,11.427526644656243
2000,5,2555277,Shrubland,229974.93,2.6681876297957365
2000,7,4683228,Grassland,421490.51999999996,4.8901669044542055
2000,8,22531916,Cropland,2027872.44,23.527539107030915
2000,9,161359,Wetland,14522.31,0.16848900833694752
2000,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2000,12,14896889,Bareland,1340720.01,15.55514136128497
2000,13,553992,Built-up,49859.28,0.578471375669174
2000,15,39433253,Water,3548992.77,41.175699486672336
2000,16,22194,Ice/Snow,1997.46,0.023174691532732685
2000,20,10928079,Forest,983527.11,11.410960614144988
2001,5,2524196,Shrubland,227177.63999999998,2.635733246289885
2001,7,4700903,Grassland,423081.26999999996,4.908622913864003
2001,8,22491526,Cropland,2024237.3399999999,23.48536438453803
2001,9,161632,Wetland,14546.88,0.168774071452584
2001,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2001,12,14905711,Bareland,1341513.99,15.5643531810877
2001,13,588029,Built-up,52922.61,0.6140123766468987
2001,15,39431702,Water,3548853.1799999997,41.17407995226811
2001,16,22194,Ice/Snow,1997.46,0.023174691532732685
2001,20,10940294,Forest,984626.46,11.423715361242056
2002,5,2514445,Shrubland,226300.05,2.6255513765442027
2002,7,4713276,Grassland,424194.83999999997,4.9215426425444795
2002,8,22464437,Cropland,2021799.3299999998,23.45707839648134
2002,9,161763,Wetland,14558.67,0.16891085998060004
2002,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2002,12,14890686,Bareland,1340161.74,15.548664267855328
2002,13,634434,Built-up,57099.06,0.6624678853689163
2002,15,39430444,Water,3548739.96,41.17276636472427
2002,16,22194,Ice/Snow,1997.46,0.023174691532732685
2002,20,10934508,Forest,984105.72,11.417673693890142
2003,5,2500932,Shrubland,225083.88,2.6114412744138153
2003,7,4714955,Grassland,424345.95,4.923295832915006
2003,8,22412166,Cropland,2017094.94,23.402497685428468
2003,9,161872,Wetland,14568.48,0.1690246763894073
2003,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2003,12,14882864,Bareland,1339457.76,15.540496635289363
2003,13,687246,Built-up,61852.14,0.7176135017168788
2003,15,39428782,Water,3548590.38,41.17103092553676
2003,16,22194,Ice/Snow,1997.46,0.023174691532732685
2003,20,10955176,Forest,985965.84,11.439254955699575
2004,5,2461943,Shrubland,221574.87,2.5707294582396374
2004,7,4732701,Grassland,425943.08999999997,4.9418259796186135
2004,8,22419505,Cropland,2017755.45,23.410160975559073
2004,9,161837,Wetland,14565.33,0.16898812983612055
2004,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2004,12,14839396,Bareland,1335545.64,15.49510790448172
2004,13,745332,Built-up,67079.88,0.7782661615515327
2004,15,39428413,Water,3548557.17,41.1706456204464
2004,16,22194,Ice/Snow,1997.46,0.023174691532732685
2004,20,10954866,Forest,985937.94,11.438931257656176
2005,5,2451335,Shrubland,220620.15,2.5596527200320485
2005,7,4730457,Grassland,425741.13,4.939482823459316
2005,8,22403155,Cropland,2016283.95,23.393088514237988
2005,9,162225,Wetland,14600.25,0.16939327448398486
2005,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2005,12,14828431,Bareland,1334558.79,15.483658391430605
2005,13,766968,Built-up,69027.12,0.8008581966061513
2005,15,39427073,Water,3548436.57,41.16924640954913
2005,16,22194,Ice/Snow,1997.46,0.023174691532732685
2005,20,10974349,Forest,987691.4099999999,11.459275157590042
2006,5,2446310,Shrubland,220167.9,2.554405679167311
