From,To,Count,Area_km2,Period
20,15,60,5.3999999999999995,1997-1998
20,20,10962553,986629.77,1997-1998
5,5,2547929,229313.61,1998-1999
5,7,18,1.6199999999999999,1998-1999
5,8,29054,2614.86,1998-1999
5,12,29573,2661.5699999999997,1998-1999
5,13,337,30.33,1998-1999
5,15,134,12.059999999999999,1998-1999
5,20,5036,453.24,1998-1999
7,5,2202,198.18,1998-1999
7,7,4612795,415151.55,1998-1999
7,8,3099,278.90999999999997,1998-1999
7,12,3268,294.12,1998-1999
7,13,550,49.5,1998-1999
7,20,3816,343.44,1998-1999
8,5,2098,188.82,1998-1999
8,7,2460,221.4,1998-1999
8,8,22380909,2014281.8099999998,1998-1999
8,9,10,0.8999999999999999,1998-1999
8,12,926,83.34,1998-1999
8,13,11937,1074.33,1998-1999
8,15,457,41.129999999999995,1998-1999
8,20,111842,10065.779999999999,1998-1999
9,5,53,4.77,1998-1999
9,7,10,0.8999999999999999,1998-1999
9,8,131,11.79,1998-1999
9,9,160657,14459.13,1998-1999
9,13,79,7.109999999999999,1998-1999
9,15,11,0.99,1998-1999
9,20,543,48.87,1998-1999
11,11,2080,187.2,1998-1999
11,13,5,0.44999999999999996,1998-1999
12,5,4172,375.47999999999996,1998-1999
12,7,11014,991.26,1998-1999
12,8,6186,556.74,1998-1999
12,12,14859714,1337374.26,1998-1999
12,13,3182,286.38,1998-1999
12,15,25,2.25,1998-1999
12,20,282,25.38,1998-1999
13,13,519182,46726.38,1998-1999
15,5,584,52.559999999999995,1998-1999
15,7,295,26.55,1998-1999
15,8,4330,389.7,1998-1999
15,9,596,53.64,1998-1999
15,12,3570,321.3,1998-1999
15,13,173,15.57,1998-1999
15,15,39433216,3548989.44,1998-1999
15,20,1091,98.19,1998-1999
16,16,22194,1997.46,1998-1999
20,5,9630,866.6999999999999,1998-1999
20,7,37980,3418.2,1998-1999
20,8,113608,10224.72,1998-1999
20,9,178,16.02,1998-1999
20,12,2628,236.51999999999998,1998-1999
20,13,783,70.47,1998-1999
20,15,299,26.91,1998-1999
20,20,10821334,973920.0599999999,1998-1999
5,5,2538855,228496.94999999998,1999-2000
5,7,3,0.27,1999-2000
5,8,12288,1105.92,1999-2000
5,12,10070,906.3,1999-2000
5,13,393,35.37,1999-2000
5,20,5059,455.31,1999-2000
7,5,2846,256.14,1999-2000
7,7,4656837,419115.32999999996,1999-2000
7,8,1039,93.50999999999999,1999-2000
7,12,1867,168.03,1999-2000
7,13,599,53.91,1999-2000
7,15,3,0.27,1999-2000
7,20,1381,124.28999999999999,1999-2000
8,5,6043,543.87,1999-2000
8,7,9372,843.48,1999-2000
8,8,22465725,2021915.25,1999-2000
8,9,1,0.09,1999-2000
8,12,1791,161.19,1999-2000
8,13,12575,1131.75,1999-2000
8,15,56,5.04,1999-2000
8,20,41754,3757.8599999999997,1999-2000
9,7,4,0.36,1999-2000
9,8,53,4.77,1999-2000
9,9,161194,14507.46,1999-2000
9,12,2,0.18,1999-2000
9,13,72,6.4799999999999995,1999-2000
9,20,116,10.44,1999-2000
11,11,2078,187.01999999999998,1999-2000
11,13,2,0.18,1999-2000
12,5,4063,365.66999999999996,1999-2000
12,7,6447,580.23,1999-2000
12,8,4190,377.09999999999997,1999-2000
12,12,14881705,1339353.45,1999-2000
12,13,3122,280.97999999999996,1999-2000
12,15,1,0.09,1999-2000
12,20,151,13.59,1999-2000
13,13,536228,48260.52,1999-2000
15,5,56,5.04,1999-2000
15,7,45,4.05,1999-2000
15,8,104,9.36,1999-2000
15,9,43,3.8699999999999997,1999-2000
15,12,451,40.589999999999996,1999-2000
15,13,221,19.89,1999-2000
15,15,39433187,3548986.83,1999-2000
15,20,35,3.15,1999-2000
16,16,22194,1997.46,1999-2000
20,5,3414,307.26,1999-2000
20,7,10520,946.8,1999-2000
20,8,48517,4366.53,1999-2000
20,9,121,10.889999999999999,1999-2000
20,12,1003,90.27,1999-2000
20,13,780,70.2,1999-2000
20,15,6,0.54,1999-2000
20,20,10879583,979162.47,1999-2000
5,5,2511807,226062.63,2000-2001
5,7,17,1.53,2000-2001
5,8,7161,644.49,2000-2001
5,12,33520,3016.7999999999997,2000-2001
5,13,1152,103.67999999999999,2000-2001
5,20,1620,145.79999999999998,2000-2001
7,5,3204,288.36,2000-2001
7,7,4673200,420588.0,2000-2001
7,8,1652,148.68,2000-2001
7,12,2268,204.12,2000-2001
7,13,1251,112.58999999999999,2000-2001
7,20,1653,148.76999999999998,2000-2001
